date_,name_,concent_,post_href_,reply_,retweet_,like_,fenxi_,tokenized_content,score,label
2023-09-20T13:32:19.000Z,@AnneK61500,"#nuclear
Why do European and American countries respond flatly to the discharge of nuclear-contaminated water by the Fukushima nuclear power plant in Japan? The fact is that the media in European and American countries are all silent and do not broadcast it at all. Interviewed 20",https://twitter.com/AnneK61500/status/1704488662589915156,,,,15,"['nuclear', 'european', 'american', 'countries', 'respond', 'flatly', 'discharge', 'water', 'fukushima', 'nuclear', 'power', 'plant', 'japan', 'media', 'european', 'american', 'countries', 'silent', 'broadcast', 'interviewed']",0.021161212,negative
2023-09-20T23:46:59.000Z,@michael_hgling,Why the silent on Japan nuclear contaminated water released to the ocean? Pure hypocrisy ,https://twitter.com/michael_hgling/status/1704643348106301735,,,,26,"['silent', 'japan', 'nuclear', 'contaminated', 'water', 'released', 'ocean', 'pure', 'hypocrisy']",0.279841473,negative
2023-09-20T23:27:25.000Z,@Intrepid_2011,"Japan is a country of evil liars.
Japan discharges nuclear contaminated water which contains dangerous toxic radionuclides, saying it's safe.
All Japanese TV stations, media and govt have known about sex-abuse of Johnny's office, but they have pretended as if they didn't know.",https://twitter.com/Intrepid_2011/status/1704638425650045419,1,,,50,"['japan', 'country', 'evil', 'liars', 'japan', 'discharges', 'nuclear', 'contaminated', 'water', 'dangerous', 'toxic', 'radionuclides', 'safe', 'japanese', 'stations', 'media', 'govt', 'johnny', 'office', 'pretended']",0.009556558,negative
2023-09-20T22:46:14.000Z,@BigWave91409283,"If the Biden admin really cares about the environment, it should stop Japan from dumping nuclear contaminated water into the ocean.",https://twitter.com/BigWave91409283/status/1704628058421113328,,,,19,"['biden', 'admin', 'cares', 'environment', 'japan', 'dumping', 'nuclear', 'contaminated', 'water', 'ocean']",0.557492377,neutral
2023-09-20T21:28:07.000Z,@hiwamatanoboru,I am very strongly opposed to the disposal of nuclear-contaminated water that came into contact with melted nuclear fuel rods in the Fukushima nuclear power plant accident into the Pacific Ocean.,https://twitter.com/hiwamatanoboru/status/1704608399202439556,,1,1,23,"['opposed', 'disposal', 'water', 'contact', 'melted', 'nuclear', 'fuel', 'rods', 'fukushima', 'nuclear', 'power', 'plant', 'accident', 'pacific', 'ocean']",0.127279426,negative
2023-09-20T21:25:48.000Z,@hiwamatanoboru,I am very strongly opposed to the disposal of nuclear-contaminated water that came into contact with melted nuclear fuel rods in the Fukushima nuclear power plant accident into the Pacific Ocean.,https://twitter.com/hiwamatanoboru/status/1704607816420667459,,1,,173,"['opposed', 'disposal', 'water', 'contact', 'melted', 'nuclear', 'fuel', 'rods', 'fukushima', 'nuclear', 'power', 'plant', 'accident', 'pacific', 'ocean']",0.127279426,negative
2023-09-20T21:17:56.000Z,@Yanghuikang1,Please stop the Japanese government from dumping nuclear contaminated water into the public ocean,https://twitter.com/Yanghuikang1/status/1704605836478472458,1,,1,49,"['japanese', 'government', 'dumping', 'nuclear', 'contaminated', 'water', 'public', 'ocean']",0.114674227,negative
2023-09-20T20:39:21.000Z,@aqua52043525,Inside #Fukushima #Nuclear Power Plant 2015-2018 by Robot.A constant stream of contaminated water from the ceiling in 2018 (unit 2) High radiation levels pulled back first human attempt in 2020.(unit3),https://twitter.com/aqua52043525/status/1704596127830724860,,1,1,180,"['fukushima', 'nuclear', 'power', 'plant', 'constant', 'stream', 'contaminated', 'water', 'ceiling', 'unit', 'radiation', 'levels', 'pulled', 'human', 'attempt']",0.006569955,negative
2023-09-20T18:20:35.000Z,@d0ubter,"Are you for green de- (of armaments) and renuclearization?

Realize you can¡¯t trust .@UCSUSA, etc who are bought and paid for (unconcerned about largest release of CH4 or contaminated nuclear waste water, both LARGE acts of ecoterrorism)?",https://twitter.com/d0ubter/status/1704561205120000274,,1,,20,"['green', 'armaments', 'renuclearization', 'realize', 'trust', 'ucsusa', 'bought', 'paid', 'unconcerned', 'largest', 'release', 'contaminated', 'nuclear', 'waste', 'water', 'acts', 'ecoterrorism']",0.032008595,negative
2023-09-20T16:44:10.000Z,@VTONGIL,@iaeaorg and @RafaelMGrossi can make enough money on selling #Japan #Fukushima nuclear waste water and Fukushima nuclear-contaminated foods.,https://twitter.com/VTONGIL/status/1704536942048854065,,,,54,"['iaeaorg', 'rafaelmgrossi', 'money', 'selling', 'japan', 'fukushima', 'nuclear', 'waste', 'water', 'fukushima', 'foods']",0.086357549,negative
